1,Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
135,2000,Kentucky,0.27,0.04,0.23,0.47,"Kentucky
(37.645969999815804, -84.77496999996538)"
136,1996,Oregon,0.19,0.04,0.28,0.49,"Oregon
(44.567449999917756, -120.15502999983448)"
137,1995,Alaska,0.22,0.03,0.27,0.48,"Alaska
(64.84507999974238, -147.72205999986895)"
138,2007,Pennsylvania,0.15,0.06,0.24,0.55,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
139,2005,South Carolina,0.17,0.06,0.24,0.53,"South Carolina
(33.99855000018255, -81.0452500001872)"
140,1999,Vermont,0.17,0.05,0.27,0.52,"Vermont
(43.625379999687425, -72.51764000028561)"
141,1999,New Mexico,0.16,0.06,0.25,0.53,"New Mexico
(34.52088000011207, -106.24057999976702)"
142,2004,Indiana,0.2,0.05,0.23,0.53,"Indiana
(39.76690999989677, -86.14996000035359)"
143,2009,Nebraska,0.13,0.04,0.25,0.59,"Nebraska
(41.6410400000961, -99.36572999973953)"
144,2005,Georgia,0.16,0.06,0.22,0.56,"Georgia
(32.83967999993223, -83.62758000031658)"
145,2000,Louisiana,0.19,0.06,0.2,0.57,"Louisiana
(31.31265999975932, -92.44567999993188)"
146,1995,Wisconsin,0.18,0.04,0.28,0.51,"Wisconsin
(44.39319000021851, -89.81636999977553)"
147,2007,Hawaii,0.13,0.04,0.26,0.57,"Hawaii
(21.304850000427336, -157.85774999956269)"
148,2010,New York,0.11,0.05,0.27,0.58,"New York
(42.82699999955048, -75.54396999981549)"
149,1997,New Mexico,0.16,0.07,0.25,0.53,"New Mexico
(34.52088000011207, -106.24057999976702)"
150,2004,Florida,0.15,0.06,0.26,0.54,"Florida
(28.932039999846268, -81.9289599999039)"
151,1996,Maryland,0.18,0.03,0.23,0.56,"Maryland
(39.29057999976732, -76.6092600004485)"
152,2007,Missouri,0.2,0.05,0.23,0.52,"Missouri
(38.63578999960896, -92.5663000000448)"
153,2010,Arizona,0.11,0.04,0.28,0.57,"Arizona
(34.86596999961597, -111.76380999973156)"
154,1998,Pennsylvania,0.19,0.04,0.23,0.53,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
155,1998,Texas,0.16,0.06,0.23,0.56,"Texas
(31.82724000022597, -99.42676999973554)"
156,1999,Wisconsin,0.18,0.06,0.29,0.48,"Wisconsin
(44.39319000021851, -89.81636999977553)"
157,1999,Montana,0.16,0.04,0.28,0.52,"Montana
(47.06653000015956, -109.42441999998289)"
158,2006,Minnesota,0.14,0.05,0.28,0.54,"Minnesota
(46.3556499998478, -94.79419999982997)"
159,1995,Missouri,0.22,0.02,0.27,0.49,"Missouri
(38.63578999960896, -92.5663000000448)"
160,2009,Tennessee,0.18,0.04,0.25,0.53,"Tennessee
(35.68094000038087, -85.77449000011325)"
161,1998,Maryland,0.17,0.06,0.24,0.53,"Maryland
(39.29057999976732, -76.6092600004485)"
162,2001,Utah,0.09,0.04,0.17,0.7,"Utah
(39.36070000030492, -111.58712999994941)"
163,2002,South Carolina,0.21,0.06,0.23,0.51,"South Carolina
(33.99855000018255, -81.0452500001872)"
164,2005,Maine,0.16,0.05,0.3,0.49,"Maine
(45.25423000041434, -68.9850299999344)"
165,1997,Georgia,0.18,0.05,0.15,0.62,"Georgia
(32.83967999993223, -83.62758000031658)"
166,2005,New York,0.15,0.06,0.26,0.54,"New York
(42.82699999955048, -75.54396999981549)"
167,2004,Massachusetts,0.14,0.05,0.27,0.55,"Massachusetts
(42.27687000005062, -72.08269000004333)"
168,2010,Vermont,0.11,0.04,0.31,0.54,"Vermont
(43.625379999687425, -72.51764000028561)"
169,2008,North Carolina,0.16,0.05,0.25,0.54,"North Carolina
(35.46624999963797, -79.1593199999179)"
170,2008,Alabama,0.17,0.05,0.22,0.56,"Alabama
(32.840569999605975, -86.63186000013877)"
171,2006,North Dakota,0.16,0.04,0.24,0.56,"North Dakota
(47.475320000018144, -100.11841999998285)"
172,2008,Mississippi,0.17,0.06,0.22,0.55,"Mississippi
(32.7455100000866, -89.53803000008429)"
173,2008,Utah,0.07,0.03,0.16,0.75,"Utah
(39.36070000030492, -111.58712999994941)"
174,2009,New Jersey,0.1,0.06,0.25,0.59,"New Jersey
(40.13056999960594, -74.2736899996936)"
175,2006,Hawaii,0.13,0.05,0.25,0.57,"Hawaii
(21.304850000427336, -157.85774999956269)"
176,2009,Kansas,0.13,0.05,0.23,0.59,"Kansas
(38.34774000000118, -98.20077999969709)"
177,2007,Colorado,0.13,0.05,0.25,0.57,"Colorado
(38.842890000173554, -106.13314000041055)"
178,1998,Georgia,0.2,0.04,0.22,0.55,"Georgia
(32.83967999993223, -83.62758000031658)"
179,2009,Michigan,0.14,0.06,0.26,0.55,"Michigan
(44.661320000317914, -84.71438999959867)"
180,2004,Delaware,0.19,0.06,0.25,0.51,"Delaware
(39.00883000020451, -75.57774000040052)"
181,1999,Nebraska,0.18,0.05,0.22,0.55,"Nebraska
(41.6410400000961, -99.36572999973953)"
182,2008,Oklahoma,0.19,0.06,0.25,0.51,"Oklahoma
(35.4720099999617, -97.52034999975251)"
183,2005,Delaware,0.16,0.05,0.27,0.52,"Delaware
(39.00883000020451, -75.57774000040052)"
184,2008,South Dakota,0.12,0.06,0.26,0.56,"South Dakota
(44.353130000049646, -100.37353000040906)"
185,1995,South Carolina,0.21,0.03,0.2,0.56,"South Carolina
(33.99855000018255, -81.0452500001872)"
186,1998,Massachusetts,0.17,0.04,0.28,0.51,"Massachusetts
(42.27687000005062, -72.08269000004333)"
187,1998,Michigan,0.23,0.05,0.25,0.47,"Michigan
(44.661320000317914, -84.71438999959867)"
188,2010,Alabama,0.16,0.06,0.24,0.54,"Alabama
(32.840569999605975, -86.63186000013877)"
189,2003,Missouri,0.23,0.04,0.24,0.49,"Missouri
(38.63578999960896, -92.5663000000448)"
190,2002,Tennessee,0.23,0.05,0.19,0.54,"Tennessee
(35.68094000038087, -85.77449000011325)"
191,2007,Indiana,0.18,0.06,0.23,0.53,"Indiana
(39.76690999989677, -86.14996000035359)"
192,2007,Tennessee,0.2,0.04,0.24,0.52,"Tennessee
(35.68094000038087, -85.77449000011325)"
193,2007,Louisiana,0.17,0.06,0.2,0.57,"Louisiana
(31.31265999975932, -92.44567999993188)"
194,2007,New Jersey,0.12,0.05,0.25,0.58,"New Jersey
(40.13056999960594, -74.2736899996936)"
195,1997,New Hampshire,0.2,0.05,0.31,0.44,"New Hampshire
(43.65595000019255, -71.50036000041354)"
196,2002,Vermont,0.17,0.04,0.32,0.47,"Vermont
(43.625379999687425, -72.51764000028561)"
197,2009,Rhode Island,0.1,0.05,0.3,0.55,"Rhode Island
(41.70828000002217, -71.5224700001902)"
198,1996,Florida,0.18,0.04,0.31,0.48,"Florida
(28.932039999846268, -81.9289599999039)"
199,1997,Louisiana,0.19,0.05,0.22,0.54,"Louisiana
(31.31265999975932, -92.44567999993188)"
200,2009,Iowa,0.13,0.04,0.24,0.59,"Iowa
(42.469390000048634, -93.81649000001335)"
201,2004,Montana,0.16,0.05,0.25,0.55,"Montana
(47.06653000015956, -109.42441999998289)"
202,1995,Connecticut,0.19,0.02,0.29,0.51,"Connecticut
(41.56265999995918, -72.6498400002157)"
203,2001,New Mexico,0.16,0.08,0.25,0.51,"New Mexico
(34.52088000011207, -106.24057999976702)"
204,2003,West Virginia,0.23,0.05,0.26,0.47,"West Virginia
(38.66550999958696, -80.71263999973604)"
205,2010,Idaho,0.11,0.04,0.23,0.62,"Idaho
(43.682590000228515, -114.36368000023168)"
206,2009,Texas,0.12,0.06,0.22,0.61,"Texas
(31.82724000022597, -99.42676999973554)"
207,2008,Arizona,0.11,0.05,0.27,0.57,"Arizona
(34.86596999961597, -111.76380999973156)"
208,2000,Delaware,0.19,0.04,0.24,0.53,"Delaware
(39.00883000020451, -75.57774000040052)"
209,2009,Washington,0.11,0.04,0.27,0.58,"Washington
(47.522280000022135, -120.47001000026114)"
210,2007,Maine,0.16,0.04,0.31,0.49,"Maine
(45.25423000041434, -68.9850299999344)"
211,2008,Connecticut,0.12,0.04,0.3,0.54,"Connecticut
(41.56265999995918, -72.6498400002157)"
212,2005,Vermont,0.14,0.05,0.31,0.5,"Vermont
(43.625379999687425, -72.51764000028561)"
213,2006,New Hampshire,0.14,0.04,0.3,0.52,"New Hampshire
(43.65595000019255, -71.50036000041354)"
214,2002,Arkansas,0.22,0.05,0.25,0.49,"Arkansas
(34.748649999697875, -92.27448999971358)"
215,2005,Tennessee,0.2,0.06,0.22,0.51,"Tennessee
(35.68094000038087, -85.77449000011325)"
216,2005,West Virginia,0.21,0.05,0.24,0.49,"West Virginia
(38.66550999958696, -80.71263999973604)"
217,2004,Tennessee,0.22,0.05,0.22,0.52,"Tennessee
(35.68094000038087, -85.77449000011325)"
218,2000,Texas,0.15,0.07,0.22,0.56,"Texas
(31.82724000022597, -99.42676999973554)"
219,2008,Tennessee,0.18,0.05,0.22,0.55,"Tennessee
(35.68094000038087, -85.77449000011325)"
220,2006,South Carolina,0.17,0.06,0.25,0.53,"South Carolina
(33.99855000018255, -81.0452500001872)"
221,2000,Iowa,0.18,0.05,0.23,0.54,"Iowa
(42.469390000048634, -93.81649000001335)"
222,2006,Pennsylvania,0.17,0.05,0.26,0.53,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
223,2005,Missouri,0.19,0.05,0.24,0.52,"Missouri
(38.63578999960896, -92.5663000000448)"
224,2009,Utah,0.07,0.03,0.15,0.75,"Utah
(39.36070000030492, -111.58712999994941)"
225,1999,Colorado,0.18,0.05,0.26,0.52,"Colorado
(38.842890000173554, -106.13314000041055)"
226,1999,New York,0.17,0.05,0.23,0.55,"New York
(42.82699999955048, -75.54396999981549)"
227,1997,Rhode Island,0.2,0.05,0.27,0.49,"Rhode Island
(41.70828000002217, -71.5224700001902)"
228,2004,Kentucky,0.23,0.05,0.2,0.52,"Kentucky
(37.645969999815804, -84.77496999996538)"
229,2000,Pennsylvania,0.19,0.05,0.25,0.51,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
230,2006,Alaska,0.16,0.08,0.28,0.49,"Alaska
(64.84507999974238, -147.72205999986895)"
231,2010,Wisconsin,0.14,0.06,0.26,0.55,"Wisconsin
(44.39319000021851, -89.81636999977553)"
232,1995,Ohio,0.24,0.02,0.24,0.5,"Ohio
(40.06020999969189, -82.40426000019869)"
233,2006,Texas,0.13,0.05,0.22,0.6,"Texas
(31.82724000022597, -99.42676999973554)"
234,2005,Rhode Island,0.15,0.04,0.29,0.51,"Rhode Island
(41.70828000002217, -71.5224700001902)"
235,1997,New York,0.19,0.04,0.24,0.53,"New York
(42.82699999955048, -75.54396999981549)"
236,2000,Maine,0.21,0.03,0.3,0.46,"Maine
(45.25423000041434, -68.9850299999344)"
237,2004,Maryland,0.15,0.05,0.23,0.58,"Maryland
(39.29057999976732, -76.6092600004485)"
238,2003,California,0.11,0.06,0.25,0.58,"California
(37.638300000444815, -120.99958999997835)"
239,2000,South Carolina,0.19,0.06,0.22,0.53,"South Carolina
(33.99855000018255, -81.0452500001872)"
240,1997,Colorado,0.17,0.06,0.26,0.52,"Colorado
(38.842890000173554, -106.13314000041055)"
241,2010,Virginia,0.15,0.04,0.24,0.57,"Virginia
(37.54268000028196, -78.45789000012326)"
242,2005,Connecticut,0.12,0.04,0.29,0.54,"Connecticut
(41.56265999995918, -72.6498400002157)"
243,2004,District of Columbia,0.13,0.08,0.19,0.6,"District of Columbia
(38.89036999987576, -77.03195999965413)"
244,1996,Connecticut,0.17,0.04,0.28,0.5,"Connecticut
(41.56265999995918, -72.6498400002157)"
245,1996,Alaska,0.22,0.06,0.26,0.46,"Alaska
(64.84507999974238, -147.72205999986895)"
246,2010,Michigan,0.14,0.05,0.25,0.56,"Michigan
(44.661320000317914, -84.71438999959867)"
247,1999,Maryland,0.16,0.05,0.24,0.56,"Maryland
(39.29057999976732, -76.6092600004485)"
248,1995,Nevada,0.23,0.03,0.27,0.47,"Nevada
(39.49323999972637, -117.07183999971608)"
249,2003,Utah,0.09,0.03,0.17,0.72,"Utah
(39.36070000030492, -111.58712999994941)"
250,2005,Nevada,0.17,0.07,0.24,0.53,"Nevada
(39.49323999972637, -117.07183999971608)"
251,2006,Virginia,0.15,0.05,0.25,0.56,"Virginia
(37.54268000028196, -78.45789000012326)"
252,2005,North Carolina,0.17,0.06,0.24,0.54,"North Carolina
(35.46624999963797, -79.1593199999179)"
253,2008,Texas,0.12,0.07,0.22,0.6,"Texas
(31.82724000022597, -99.42676999973554)"
254,2003,Indiana,0.21,0.05,0.24,0.5,"Indiana
(39.76690999989677, -86.14996000035359)"
255,1997,Wyoming,0.2,0.05,0.25,0.51,"Wyoming
(43.23553999957147, -108.10982999975454)"
256,2001,Maryland,0.15,0.06,0.25,0.54,"Maryland
(39.29057999976732, -76.6092600004485)"
257,1998,Florida,0.18,0.04,0.26,0.52,"Florida
(28.932039999846268, -81.9289599999039)"
258,2008,Alaska,0.15,0.06,0.28,0.5,"Alaska
(64.84507999974238, -147.72205999986895)"
259,1996,Alabama,0.18,0.05,0.22,0.56,"Alabama
(32.840569999605975, -86.63186000013877)"
260,2001,North Carolina,0.21,0.05,0.24,0.5,"North Carolina
(35.46624999963797, -79.1593199999179)"
261,1997,Washington,0.19,0.05,0.27,0.49,"Washington
(47.522280000022135, -120.47001000026114)"
262,2001,Delaware,0.19,0.06,0.25,0.5,"Delaware
(39.00883000020451, -75.57774000040052)"
263,2006,Arkansas,0.19,0.05,0.25,0.51,"Arkansas
(34.748649999697875, -92.27448999971358)"
264,1996,Louisiana,0.22,0.04,0.22,0.53,"Louisiana
(31.31265999975932, -92.44567999993188)"
265,2008,Indiana,0.2,0.06,0.23,0.51,"Indiana
(39.76690999989677, -86.14996000035359)"
266,1997,Maryland,0.18,0.03,0.23,0.57,"Maryland
(39.29057999976732, -76.6092600004485)"
267,2007,Arkansas,0.17,0.05,0.24,0.54,"Arkansas
(34.748649999697875, -92.27448999971358)"
268,2008,Arkansas,0.17,0.05,0.26,0.51,"Arkansas
(34.748649999697875, -92.27448999971358)"
269,2009,Virginia,0.14,0.05,0.24,0.57,"Virginia
(37.54268000028196, -78.45789000012326)"
270,2004,South Carolina,0.18,0.06,0.22,0.54,"South Carolina
(33.99855000018255, -81.0452500001872)"
271,2001,Nebraska,0.16,0.04,0.22,0.57,"Nebraska
(41.6410400000961, -99.36572999973953)"
272,2003,Montana,0.15,0.05,0.28,0.52,"Montana
(47.06653000015956, -109.42441999998289)"
273,1996,Maine,0.23,0.03,0.28,0.47,"Maine
(45.25423000041434, -68.9850299999344)"
274,1996,Tennessee,0.25,0.03,0.2,0.52,"Tennessee
(35.68094000038087, -85.77449000011325)"
275,1997,New Jersey,0.17,0.05,0.26,0.52,"New Jersey
(40.13056999960594, -74.2736899996936)"
276,1999,Iowa,0.19,0.05,0.25,0.52,"Iowa
(42.469390000048634, -93.81649000001335)"
277,1997,Arkansas,0.25,0.04,0.2,0.51,"Arkansas
(34.748649999697875, -92.27448999971358)"
278,1998,Rhode Island,0.18,0.04,0.29,0.48,"Rhode Island
(41.70828000002217, -71.5224700001902)"
279,2008,Maryland,0.11,0.04,0.24,0.61,"Maryland
(39.29057999976732, -76.6092600004485)"
280,2010,Ohio,0.17,0.05,0.25,0.53,"Ohio
(40.06020999969189, -82.40426000019869)"
281,2007,Rhode Island,0.12,0.05,0.28,0.55,"Rhode Island
(41.70828000002217, -71.5224700001902)"
282,1995,Indiana,0.24,0.03,0.23,0.5,"Indiana
(39.76690999989677, -86.14996000035359)"
283,2007,Oklahoma,0.2,0.06,0.23,0.51,"Oklahoma
(35.4720099999617, -97.52034999975251)"
284,1999,Rhode Island,0.18,0.04,0.26,0.52,"Rhode Island
(41.70828000002217, -71.5224700001902)"
285,2009,Hawaii,0.1,0.05,0.27,0.58,"Hawaii
(21.304850000427336, -157.85774999956269)"
286,2005,Washington,0.13,0.05,0.27,0.55,"Washington
(47.522280000022135, -120.47001000026114)"
287,2003,Maryland,0.15,0.05,0.24,0.56,"Maryland
(39.29057999976732, -76.6092600004485)"
288,2000,Nevada,0.22,0.07,0.27,0.44,"Nevada
(39.49323999972637, -117.07183999971608)"
289,2001,New Jersey,0.15,0.06,0.26,0.53,"New Jersey
(40.13056999960594, -74.2736899996936)"
290,1995,North Dakota,0.2,0.03,0.24,0.53,"North Dakota
(47.475320000018144, -100.11841999998285)"
291,2006,Michigan,0.17,0.06,0.25,0.52,"Michigan
(44.661320000317914, -84.71438999959867)"
292,2006,Wyoming,0.16,0.05,0.25,0.54,"Wyoming
(43.23553999957147, -108.10982999975454)"
293,2001,Alabama,0.17,0.07,0.23,0.53,"Alabama
(32.840569999605975, -86.63186000013877)"
294,2003,Pennsylvania,0.2,0.05,0.25,0.49,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
295,2004,Vermont,0.15,0.05,0.31,0.49,"Vermont
(43.625379999687425, -72.51764000028561)"
296,2004,Rhode Island,0.16,0.06,0.29,0.5,"Rhode Island
(41.70828000002217, -71.5224700001902)"
297,1995,Georgia,0.18,0.02,0.18,0.62,"Georgia
(32.83967999993223, -83.62758000031658)"
298,2005,Illinois,0.14,0.06,0.24,0.56,"Illinois
(40.485010000411364, -88.99770999971656)"
299,1995,Montana,0.19,0.02,0.29,0.5,"Montana
(47.06653000015956, -109.42441999998289)"
300,2004,Wisconsin,0.17,0.05,0.24,0.54,"Wisconsin
(44.39319000021851, -89.81636999977553)"
301,2007,Maryland,0.12,0.06,0.24,0.59,"Maryland
(39.29057999976732, -76.6092600004485)"
302,2007,Alabama,0.17,0.06,0.23,0.54,"Alabama
(32.840569999605975, -86.63186000013877)"
303,2006,Massachusetts,0.13,0.05,0.28,0.55,"Massachusetts
(42.27687000005062, -72.08269000004333)"
304,2001,Oregon,0.15,0.06,0.29,0.51,"Oregon
(44.567449999917756, -120.15502999983448)"
305,2010,Illinois,0.12,0.05,0.24,0.6,"Illinois
(40.485010000411364, -88.99770999971656)"
306,2003,Oklahoma,0.2,0.05,0.22,0.53,"Oklahoma
(35.4720099999617, -97.52034999975251)"
307,2000,New Hampshire,0.2,0.06,0.3,0.45,"New Hampshire
(43.65595000019255, -71.50036000041354)"
308,2009,Maine,0.13,0.05,0.31,0.52,"Maine
(45.25423000041434, -68.9850299999344)"
309,2010,Connecticut,0.09,0.04,0.29,0.58,"Connecticut
(41.56265999995918, -72.6498400002157)"
310,2003,Texas,0.16,0.07,0.22,0.56,"Texas
(31.82724000022597, -99.42676999973554)"
311,2004,Illinois,0.15,0.07,0.22,0.56,"Illinois
(40.485010000411364, -88.99770999971656)"
312,2007,Illinois,0.14,0.06,0.24,0.56,"Illinois
(40.485010000411364, -88.99770999971656)"
313,1997,Missouri,0.25,0.04,0.22,0.5,"Missouri
(38.63578999960896, -92.5663000000448)"
314,1995,Louisiana,0.21,0.04,0.22,0.53,"Louisiana
(31.31265999975932, -92.44567999993188)"
315,2002,Ohio,0.21,0.05,0.25,0.49,"Ohio
(40.06020999969189, -82.40426000019869)"
316,2006,Mississippi,0.18,0.07,0.21,0.54,"Mississippi
(32.7455100000866, -89.53803000008429)"
317,2001,California,0.12,0.05,0.26,0.57,"California
(37.638300000444815, -120.99958999997835)"
318,2006,West Virginia,0.21,0.05,0.25,0.5,"West Virginia
(38.66550999958696, -80.71263999973604)"
319,2005,Pennsylvania,0.18,0.06,0.25,0.51,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
320,2002,Illinois,0.18,0.05,0.23,0.54,"Illinois
(40.485010000411364, -88.99770999971656)"
321,1998,Illinois,0.17,0.06,0.25,0.52,"Illinois
(40.485010000411364, -88.99770999971656)"
322,2008,Minnesota,0.12,0.06,0.27,0.55,"Minnesota
(46.3556499998478, -94.79419999982997)"
323,2008,California,0.09,0.05,0.23,0.63,"California
(37.638300000444815, -120.99958999997835)"
324,2009,South Dakota,0.13,0.05,0.27,0.55,"South Dakota
(44.353130000049646, -100.37353000040906)"
325,2001,North Dakota,0.16,0.07,0.25,0.53,"North Dakota
(47.475320000018144, -100.11841999998285)"
326,2007,Alaska,0.16,0.07,0.27,0.51,"Alaska
(64.84507999974238, -147.72205999986895)"
327,1996,Ohio,0.26,0.03,0.21,0.5,"Ohio
(40.06020999969189, -82.40426000019869)"
328,2010,Maine,0.14,0.04,0.3,0.52,"Maine
(45.25423000041434, -68.9850299999344)"
329,2007,South Carolina,0.16,0.06,0.25,0.53,"South Carolina
(33.99855000018255, -81.0452500001872)"
330,1998,New Jersey,0.15,0.04,0.26,0.55,"New Jersey
(40.13056999960594, -74.2736899996936)"
331,1995,Oklahoma,0.2,0.01,0.17,0.61,"Oklahoma
(35.4720099999617, -97.52034999975251)"
332,2000,New Jersey,0.15,0.06,0.22,0.57,"New Jersey
(40.13056999960594, -74.2736899996936)"
333,1996,Washington,0.19,0.04,0.27,0.5,"Washington
(47.522280000022135, -120.47001000026114)"
334,2007,Montana,0.15,0.05,0.27,0.54,"Montana
(47.06653000015956, -109.42441999998289)"
335,2003,Alabama,0.2,0.06,0.24,0.51,"Alabama
(32.840569999605975, -86.63186000013877)"
336,2005,Alabama,0.19,0.06,0.21,0.54,"Alabama
(32.840569999605975, -86.63186000013877)"
337,1999,California,0.13,0.06,0.26,0.55,"California
(37.638300000444815, -120.99958999997835)"
338,2007,Washington,0.12,0.05,0.26,0.57,"Washington
(47.522280000022135, -120.47001000026114)"
339,2001,Indiana,0.22,0.06,0.23,0.5,"Indiana
(39.76690999989677, -86.14996000035359)"
340,1998,Wyoming,0.19,0.04,0.25,0.52,"Wyoming
(43.23553999957147, -108.10982999975454)"
341,2009,California,0.08,0.05,0.23,0.64,"California
(37.638300000444815, -120.99958999997835)"
342,1996,Wyoming,0.2,0.05,0.25,0.5,"Wyoming
(43.23553999957147, -108.10982999975454)"
343,1999,Ohio,0.24,0.04,0.24,0.48,"Ohio
(40.06020999969189, -82.40426000019869)"
344,2009,New York,0.12,0.06,0.26,0.56,"New York
(42.82699999955048, -75.54396999981549)"
345,2008,Wisconsin,0.14,0.06,0.27,0.54,"Wisconsin
(44.39319000021851, -89.81636999977553)"
346,1995,Kentucky,0.25,0.03,0.22,0.5,"Kentucky
(37.645969999815804, -84.77496999996538)"
347,1998,Hawaii,0.16,0.04,0.26,0.54,"Hawaii
(21.304850000427336, -157.85774999956269)"
348,2003,Wyoming,0.2,0.05,0.26,0.49,"Wyoming
(43.23553999957147, -108.10982999975454)"
349,2008,Ohio,0.16,0.05,0.25,0.54,"Ohio
(40.06020999969189, -82.40426000019869)"
350,2002,Michigan,0.19,0.05,0.27,0.49,"Michigan
(44.661320000317914, -84.71438999959867)"
351,2005,District of Columbia,0.12,0.09,0.22,0.59,"District of Columbia
(38.89036999987576, -77.03195999965413)"
352,2003,Nebraska,0.16,0.05,0.24,0.55,"Nebraska
(41.6410400000961, -99.36572999973953)"
353,2008,North Dakota,0.13,0.05,0.25,0.57,"North Dakota
(47.475320000018144, -100.11841999998285)"
354,2000,Massachusetts,0.15,0.05,0.28,0.52,"Massachusetts
(42.27687000005062, -72.08269000004333)"
355,2008,Wyoming,0.15,0.05,0.25,0.55,"Wyoming
(43.23553999957147, -108.10982999975454)"
356,1998,Nevada,0.24,0.07,0.24,0.46,"Nevada
(39.49323999972637, -117.07183999971608)"
357,1997,District of Columbia,0.12,0.07,0.16,0.65,"District of Columbia
(38.89036999987576, -77.03195999965413)"
358,2010,Iowa,0.12,0.04,0.23,0.6,"Iowa
(42.469390000048634, -93.81649000001335)"
359,2006,Oregon,0.14,0.05,0.26,0.56,"Oregon
(44.567449999917756, -120.15502999983448)"
360,2006,New York,0.13,0.05,0.25,0.57,"New York
(42.82699999955048, -75.54396999981549)"
361,1997,Alabama,0.21,0.04,0.22,0.53,"Alabama
(32.840569999605975, -86.63186000013877)"
362,1996,Kentucky,0.28,0.04,0.23,0.45,"Kentucky
(37.645969999815804, -84.77496999996538)"
363,1996,Delaware,0.21,0.03,0.27,0.49,"Delaware
(39.00883000020451, -75.57774000040052)"
364,1995,Nebraska,0.19,0.02,0.26,0.53,"Nebraska
(41.6410400000961, -99.36572999973953)"
365,1998,North Carolina,0.21,0.04,0.23,0.52,"North Carolina
(35.46624999963797, -79.1593199999179)"
366,1995,Virginia,0.19,0.03,0.25,0.54,"Virginia
(37.54268000028196, -78.45789000012326)"
367,2002,Georgia,0.18,0.06,0.22,0.54,"Georgia
(32.83967999993223, -83.62758000031658)"
368,1997,Mississippi,0.19,0.04,0.21,0.56,"Mississippi
(32.7455100000866, -89.53803000008429)"
369,2003,District of Columbia,0.14,0.08,0.22,0.56,"District of Columbia
(38.89036999987576, -77.03195999965413)"
370,2006,Nebraska,0.14,0.05,0.24,0.58,"Nebraska
(41.6410400000961, -99.36572999973953)"
371,1999,North Dakota,0.17,0.05,0.25,0.53,"North Dakota
(47.475320000018144, -100.11841999998285)"
372,2006,South Dakota,0.15,0.06,0.25,0.55,"South Dakota
(44.353130000049646, -100.37353000040906)"
373,2005,Texas,0.13,0.07,0.21,0.59,"Texas
(31.82724000022597, -99.42676999973554)"
374,1999,Arkansas,0.23,0.05,0.23,0.5,"Arkansas
(34.748649999697875, -92.27448999971358)"
375,2008,Massachusetts,0.12,0.04,0.28,0.56,"Massachusetts
(42.27687000005062, -72.08269000004333)"
376,1999,Indiana,0.23,0.05,0.22,0.51,"Indiana
(39.76690999989677, -86.14996000035359)"
377,2008,Illinois,0.15,0.06,0.23,0.55,"Illinois
(40.485010000411364, -88.99770999971656)"
378,2004,Connecticut,0.13,0.05,0.3,0.52,"Connecticut
(41.56265999995918, -72.6498400002157)"
379,1999,Wyoming,0.19,0.05,0.25,0.51,"Wyoming
(43.23553999957147, -108.10982999975454)"
380,2003,South Carolina,0.2,0.06,0.23,0.52,"South Carolina
(33.99855000018255, -81.0452500001872)"
381,1998,Mississippi,0.19,0.05,0.22,0.54,"Mississippi
(32.7455100000866, -89.53803000008429)"
382,1999,Tennessee,0.22,0.03,0.21,0.54,"Tennessee
(35.68094000038087, -85.77449000011325)"
383,2004,Oklahoma,0.2,0.06,0.23,0.51,"Oklahoma
(35.4720099999617, -97.52034999975251)"
384,2010,North Carolina,0.14,0.05,0.25,0.56,"North Carolina
(35.46624999963797, -79.1593199999179)"
385,1996,Oklahoma,0.22,0.03,0.18,0.58,"Oklahoma
(35.4720099999617, -97.52034999975251)"
386,2006,District of Columbia,0.11,0.07,0.22,0.6,"District of Columbia
(38.89036999987576, -77.03195999965413)"
387,2005,Iowa,0.16,0.04,0.25,0.55,"Iowa
(42.469390000048634, -93.81649000001335)"
388,2003,New Hampshire,0.17,0.04,0.31,0.48,"New Hampshire
(43.65595000019255, -71.50036000041354)"
389,2010,Colorado,0.11,0.05,0.25,0.59,"Colorado
(38.842890000173554, -106.13314000041055)"
390,2007,Michigan,0.16,0.05,0.25,0.54,"Michigan
(44.661320000317914, -84.71438999959867)"
391,2007,Kansas,0.14,0.04,0.23,0.59,"Kansas
(38.34774000000118, -98.20077999969709)"
392,2010,Utah,0.06,0.03,0.14,0.77,"Utah
(39.36070000030492, -111.58712999994941)"
393,2000,Missouri,0.23,0.05,0.25,0.48,"Missouri
(38.63578999960896, -92.5663000000448)"
394,2003,Louisiana,0.2,0.06,0.21,0.53,"Louisiana
(31.31265999975932, -92.44567999993188)"
395,2009,Florida,0.13,0.04,0.28,0.55,"Florida
(28.932039999846268, -81.9289599999039)"
396,1997,Connecticut,0.17,0.04,0.29,0.49,"Connecticut
(41.56265999995918, -72.6498400002157)"
397,1997,Nebraska,0.19,0.04,0.23,0.55,"Nebraska
(41.6410400000961, -99.36572999973953)"
398,1997,South Dakota,0.19,0.06,0.26,0.5,"South Dakota
(44.353130000049646, -100.37353000040906)"
